id,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases, TotalCases/1MPopulation,Deaths/1MPopulation,TotalTests,Tests/1MPopulation,Population
1,USA,98166904.00,1084282.00,,94962112.00,2120510.00,2970.00,293206.00,3239.00,1118158870.00,3339729.00,334805269.00
2,India,44587307.00,528629.00,,44019095.00,39583.00,698.00,31698.00,376.00,894416853.00,635857.00,1406631776.00
3,France,35342950.00,155078.00,,34527115.00,660757.00,869.00,538892.00,2365.00,271490188.00,4139547.00,65584518.00
4,Brazil,34706757.00,686027.00,,33838636.00,182094.00,8318.00,161162.00,3186.00,63776166.00,296146.00,215353593.00
5,Germany,33312373.00,149948.00,,32315200.00,847225.00,1406.00,397126.00,1788.00,122332384.00,1458359.00,83883596.00
6,S. Korea,24769101.00,28406.00,42,24013461.00,727234.00,352.00,482547.00,553.00,15804065.00,307892.00,51329899.00
7,UK,23621952.00,189919.00,,23347871.00,84162.00,146.00,344857.00,2773.00,522526476.00,7628357.00,68497907.00
8,Italy,22432803.00,177054.00,,21779604.00,476145.00,141.00,372250.00,2938.00,246636495.00,4092684.00,60262770.00
9,Japan,21229216.00,44678.00,,20380089.00,804449.00,204.00,169043.00,356.00,76201407.00,606772.00,125584838.00
10,Russia,20948470.00,387163.00,,19979763.00,581544.00,2300.00,143674.00,2655.00,273400000.00,1875095.00,145805947.00
11,Turkey,16873793.00,101139.00,,16754301.00,18353.00,975.00,197211.00,1182.00,162743369.00,1902052.00,85561976.00
12,Spain,13412263.00,114084.00,,13218892.00,79287.00,339.00,287083.00,2442.00,471036328.00,10082298.00,46719142.00
13,Vietnam,11477886.00,43148.00,,10590917.00,843821.00,106.00,115993.00,436.00,85826548.00,867342.00,98953541.00
14,Australia,10209239.00,14984.00,,10133494.00,60761.00,49.00,391627.00,575.00,78835048.00,3024116.00,26068792.00
15,Argentina,9708420.00,129897.00,,9563348.00,15175.00,294.00,211006.00,2823.00,35716069.00,776264.00,46010234.00
16,Netherlands,8422336.00,22643.00,,8362464.00,37229.00,35.00,489345.00,1316.00,21107399.00,1226358.00,17211447.00
17,Iran,7548320.00,144421.00,,7325370.00,78529.00,157.00,87748.00,1679.00,54095556.00,628851.00,86022837.00
18,Mexico,7084488.00,330065.00,,6353953.00,400470.00,4798.00,53849.00,2509.00,18393211.00,139806.00,131562772.00
19,Indonesia,6429767.00,158093.00,,6253317.00,18357.00,2771.00,23035.00,566.00,108656989.00,389264.00,279134505.00
20,Taiwan,6417941.00,11003.00,,5603195.00,803743.00,,268661.00,461.00,25998416.00,1088319.00,23888595.00
21,Colombia,6307372.00,141794.00,,6134690.00,30888.00,342.00,122443.00,2753.00,36572720.00,709974.00,51512762.00
22,Poland,6289672.00,117539.00,,5335940.00,836193.00,3086.00,166659.00,3114.00,37335609.00,989290.00,37739785.00
23,Portugal,5490639.00,25024.00,,5394788.00,70827.00,61.00,541453.00,2468.00,44988307.00,4436467.00,10140570.00
24,Ukraine,5177217.00,109206.00,,4973554.00,94457.00,177.00,119865.00,2528.00,19521252.00,451963.00,43192122.00
25,Austria,5118512.00,20738.00,,5006572.00,91202.00,47.00,564539.00,2287.00,197543761.00,21787811.00,9066710.00
26,Greece,4920192.00,33111.00,,4836903.00,50178.00,115.00,476918.00,3209.00,94139966.00,9125063.00,10316637.00
27,Malaysia,4838872.00,36369.00,,4777329.00,25174.00,43.00,145832.00,1096.00,64604259.00,1947021.00,33181072.00
28,DPRK,4772813.00,74.00,,4772739.00,0.00,,183636.00,3.00,,,25990679.00
29,Thailand,4681309.00,32767.00,9,4642083.00,6459.00,1496.00,66801.00,468.00,17270775.00,246450.00,70078203.00
30,Israel,4661096.00,11698.00,,4641394.00,8004.00,101.00,499796.00,1254.00,41373364.00,4436346.00,9326000.00
31,Chile,4620377.00,61141.00,,4540886.00,18350.00,124.00,240017.00,3176.00,45128974.00,2344339.00,19250195.00
32,Belgium,4533249.00,32659.00,,4451569.00,49021.00,48.00,388511.00,2799.00,35555508.00,3047194.00,11668278.00
33,Canada,4233468.00,44992.00,,4131367.00,57109.00,99.00,110280.00,1172.00,64928884.00,1691366.00,38388419.00
34,Peru,4143085.00,216539.00,,3914598.00,11948.00,147.00,122998.00,6429.00,35126382.00,1042815.00,33684208.00
35,Czechia,4100480.00,41059.00,,4035333.00,24088.00,39.00,381910.00,3824.00,56212735.00,5235528.00,10736784.00
36,Switzerland,4084307.00,14183.00,,4012833.00,57291.00,54.00,465520.00,1617.00,22318542.00,2543819.00,8773637.00
